feat_path_a,feat_path_b,label,description,pair_kind,source_group
005_ori.npy,025_comp.npy,0.0,hard-neg-mippia: 005_ori vs 025_comp,mippia_hard_negative,mippia_hard_negative
013_ori.npy,061_comp.npy,0.0,hard-neg-mippia: 013_ori vs 061_comp,mippia_hard_negative,mippia_hard_negative
005_ori.npy,005_comp.npy,1.0,remake: 005_ori -> 005_comp,mippia_positive,mippia
007_ori.npy,007_comp.npy,0.0,plag_doubt-as-negative: 007_ori -> 007_comp,mippia_plag_doubt_negative,mippia
016_ori.npy,032_comp.npy,0.0,hard-neg-mippia: 016_ori vs 032_comp,mippia_hard_negative,mippia_hard_negative
061_ori.npy,061_comp.npy,1.0,remake: 061_ori -> 061_comp,mippia_positive,mippia
053_ori.npy,053_comp.npy,1.0,remake: 053_ori -> 053_comp,mippia_positive,mippia
021_ori.npy,062_comp.npy,0.0,hard-neg-mippia: 021_ori vs 062_comp,mippia_hard_negative,mippia_hard_negative
050_ori.npy,050_comp.npy,0.0,plag_doubt-as-negative: 050_ori -> 050_comp,mippia_plag_doubt_negative,mippia
025_ori.npy,056_comp.npy,0.0,hard-neg-mippia: 025_ori vs 056_comp,mippia_hard_negative,mippia_hard_negative
014_ori.npy,014_comp.npy,1.0,plag: 014_ori -> 014_comp,mippia_positive,mippia
041_ori.npy,041_comp.npy,0.0,plag_doubt-as-negative: 041_ori -> 041_comp,mippia_plag_doubt_negative,mippia
004_ori.npy,009_comp.npy,0.0,hard-neg-mippia: 004_ori vs 009_comp,mippia_hard_negative,mippia_hard_negative
058_ori.npy,066_comp.npy,0.0,hard-neg-mippia: 058_ori vs 066_comp,mippia_hard_negative,mippia_hard_negative
043_ori.npy,042_comp.npy,0.0,hard-neg-mippia: 043_ori vs 042_comp,mippia_hard_negative,mippia_hard_negative
066_ori.npy,008_comp.npy,0.0,hard-neg-mippia: 066_ori vs 008_comp,mippia_hard_negative,mippia_hard_negative
006_ori.npy,006_comp.npy,0.0,plag_doubt-as-negative: 006_ori -> 006_comp,mippia_plag_doubt_negative,mippia
020_ori.npy,009_comp.npy,0.0,hard-neg-mippia: 020_ori vs 009_comp,mippia_hard_negative,mippia_hard_negative
004_ori.npy,004_comp.npy,1.0,plag: 004_ori -> 004_comp,mippia_positive,mippia
011_ori.npy,056_comp.npy,0.0,hard-neg-mippia: 011_ori vs 056_comp,mippia_hard_negative,mippia_hard_negative
065_ori.npy,065_comp.npy,0.0,plag_doubt-as-negative: 065_ori -> 065_comp,mippia_plag_doubt_negative,mippia
042_ori.npy,042_comp.npy,0.0,plag_doubt-as-negative: 042_ori -> 042_comp,mippia_plag_doubt_negative,mippia
011_ori.npy,001_comp.npy,0.0,hard-neg-mippia: 011_ori vs 001_comp,mippia_hard_negative,mippia_hard_negative
018_ori.npy,054_comp.npy,0.0,hard-neg-mippia: 018_ori vs 054_comp,mippia_hard_negative,mippia_hard_negative
056_ori.npy,001_comp.npy,0.0,hard-neg-mippia: 056_ori vs 001_comp,mippia_hard_negative,mippia_hard_negative
063_ori.npy,063_comp.npy,1.0,remake: 063_ori -> 063_comp,mippia_positive,mippia
017_ori.npy,025_comp.npy,0.0,hard-neg-mippia: 017_ori vs 025_comp,mippia_hard_negative,mippia_hard_negative
063_ori.npy,060_comp.npy,0.0,hard-neg-mippia: 063_ori vs 060_comp,mippia_hard_negative,mippia_hard_negative
047_ori.npy,047_comp.npy,1.0,plag: 047_ori -> 047_comp,mippia_positive,mippia
053_ori.npy,017_comp.npy,0.0,hard-neg-mippia: 053_ori vs 017_comp,mippia_hard_negative,mippia_hard_negative
062_ori.npy,033_comp.npy,0.0,hard-neg-mippia: 062_ori vs 033_comp,mippia_hard_negative,mippia_hard_negative
036_ori.npy,036_comp.npy,0.0,plag_doubt-as-negative: 036_ori -> 036_comp,mippia_plag_doubt_negative,mippia
058_ori.npy,058_comp.npy,1.0,remake: 058_ori -> 058_comp,mippia_positive,mippia
015_ori.npy,060_comp.npy,0.0,hard-neg-mippia: 015_ori vs 060_comp,mippia_hard_negative,mippia_hard_negative
039_ori.npy,039_comp.npy,0.0,plag_doubt-as-negative: 039_ori -> 039_comp,mippia_plag_doubt_negative,mippia
054_ori.npy,029_comp.npy,0.0,hard-neg-mippia: 054_ori vs 029_comp,mippia_hard_negative,mippia_hard_negative
029_ori.npy,009_comp.npy,0.0,hard-neg-mippia: 029_ori vs 009_comp,mippia_hard_negative,mippia_hard_negative
032_ori.npy,035_comp.npy,0.0,hard-neg-mippia: 032_ori vs 035_comp,mippia_hard_negative,mippia_hard_negative
021_ori.npy,017_comp.npy,0.0,hard-neg-mippia: 021_ori vs 017_comp,mippia_hard_negative,mippia_hard_negative
001_ori.npy,041_comp.npy,0.0,hard-neg-mippia: 001_ori vs 041_comp,mippia_hard_negative,mippia_hard_negative
060_ori.npy,056_comp.npy,0.0,hard-neg-mippia: 060_ori vs 056_comp,mippia_hard_negative,mippia_hard_negative
045_ori.npy,057_comp.npy,0.0,hard-neg-mippia: 045_ori vs 057_comp,mippia_hard_negative,mippia_hard_negative
020_ori.npy,062_comp.npy,0.0,hard-neg-mippia: 020_ori vs 062_comp,mippia_hard_negative,mippia_hard_negative
025_ori.npy,025_comp.npy,1.0,plag: 025_ori -> 025_comp,mippia_positive,mippia
032_ori.npy,017_comp.npy,0.0,hard-neg-mippia: 032_ori vs 017_comp,mippia_hard_negative,mippia_hard_negative
009_ori.npy,008_comp.npy,0.0,hard-neg-mippia: 009_ori vs 008_comp,mippia_hard_negative,mippia_hard_negative
061_ori.npy,001_comp.npy,0.0,hard-neg-mippia: 061_ori vs 001_comp,mippia_hard_negative,mippia_hard_negative
052_ori.npy,063_comp.npy,0.0,hard-neg-mippia: 052_ori vs 063_comp,mippia_hard_negative,mippia_hard_negative
